passer_player_name,total_gwd_attempts,successful_gwd_attempts,pct_successful_gwd,games_with_gwd_attempt,games_won_with_gwd_attempt,pct_won_when_gwd_attempt,games_with_successful_gwd,games_won_after_successful_gwd,pct_won_after_successful_gwd
B.Nix,1,1,1,1,1,1,1,1,1
J.Daniels,1,1,1,1,1,1,1,1,1
C.Keenum,4,4,1,1,1,1,1,1,1
J.Goff,2,2,1,1,1,1,1,1,1
C.Williams,2,2,1,2,1,0.5,2,1,0.5
B.Purdy,2,2,1,2,1,0.5,2,1,0.5
P.Mahomes,13,12,0.9230769230769231,6,4,0.6666666666666666,6,4,0.6666666666666666
M.Stafford,6,5,0.8333333333333334,5,4,0.8,4,4,1
K.Warner,4,3,0.75,3,1,0.3333333333333333,2,1,0.5
A.Rodgers,7,5,0.7142857142857143,4,1,0.25,3,1,0.3333333333333333
J.Allen,7,5,0.7142857142857143,5,1,0.2,3,1,0.3333333333333333
J.Delhomme,2,1,0.5,2,1,0.5,1,0,0
T.Lawrence,2,1,0.5,2,1,0.5,1,1,1
N.Foles,2,1,0.5,2,1,0.5,1,1,1
B.Young,2,1,0.5,1,0,0,0,0,
M.Bulger,2,1,0.5,1,0,0,1,0,0
D.Brees,8,4,0.5,5,1,0.2,2,0,0
Alex Smith,4,2,0.5,2,1,0.5,1,1,1
T.Brady,21,10,0.47619047619047616,13,7,0.5384615384615384,8,7,0.875
D.Prescott,6,2,0.3333333333333333,3,0,0,1,0,0
R.Wilson,6,2,0.3333333333333333,4,1,0.25,1,1,1
B.Roethlisberger,6,2,0.3333333333333333,5,3,0.6,2,2,1
E.Manning,7,2,0.2857142857142857,4,4,1,2,2,1
J.Flacco,8,2,0.25,5,2,0.4,1,1,1
J.Garoppolo,4,1,0.25,3,1,0.3333333333333333,1,1,1
J.Burrow,5,1,0.2,3,1,0.3333333333333333,1,1,1
M.Ryan,5,1,0.2,4,1,0.25,1,1,1
P.Manning,7,1,0.14285714285714285,5,1,0.2,1,1,1
D.McNabb,8,1,0.125,4,1,0.25,1,1,1
J.Hurts,3,0,0,2,0,0,0,0,
J.Love,3,0,0,2,0,0,0,0,
K.Collins,1,0,0,1,0,0,0,0,
K.Cousins,1,0,0,1,0,0,0,0,
K.Stewart,2,0,0,1,0,0,0,0,
C.Pennington,2,0,0,1,0,0,0,0,
L.Jackson,1,0,0,1,0,0,0,0,
C.Kaepernick,2,0,0,2,0,0,0,0,
M.Hasselbeck,2,0,0,1,0,0,0,0,
T.Yates,2,0,0,1,0,0,0,0,
C.Hanie,1,0,0,1,0,0,0,0,
B.Mayfield,1,0,0,1,0,0,0,0,
N.O'Donnell,1,0,0,1,1,1,0,0,
B.Johnson,4,0,0,1,0,0,0,0,
P. Manning,1,0,0,1,0,0,0,0,
P.Rivers,1,0,0,1,0,0,0,0,
R.Grossman,3,0,0,2,1,0.5,0,0,
R.Tannehill,1,0,0,1,0,0,0,0,
B.Favre,3,0,0,2,0,0,0,0,
S.King,2,0,0,1,0,0,0,0,
S.McNair,6,0,0,3,1,0.3333333333333333,0,0,
S.Thompson,4,0,0,1,0,0,0,0,
B.Bortles,2,0,0,1,0,0,0,0,
T. Green,1,0,0,1,0,0,0,0,
T.Huntley,1,0,0,1,0,0,0,0,
A.Smith,2,0,0,1,0,0,0,0,
T.Maddox,2,0,0,1,0,0,0,0,
T.Romo,3,0,0,1,0,0,0,0,
J.Garcia,2,0,0,1,0,0,0,0,
D.Carr,1,0,0,1,0,0,0,0,
