passer_player_name,total_gwd_attempts,successful_gwd_attempts,pct_successful_gwd,games_with_gwd_attempt,games_won_with_gwd_attempt,pct_won_when_gwd_attempt,games_with_successful_gwd,games_won_after_successful_gwd,pct_won_after_successful_gwd
J.Stidham,2,2,1,1,0,0,1,0,0
S.Thompson,1,1,1,1,1,1,1,1,1
T.DeVito,2,2,1,1,1,1,1,1,1
T.Lewis,1,1,1,1,0,0,1,0,0
G.Minshew II,1,1,1,1,1,1,1,1,1
C.Krenzel,1,1,1,1,1,1,1,1,1
S. Matthews,2,2,1,2,2,1,2,2,1
J.Friesz,1,1,1,1,0,0,1,0,0
T.Smith,4,4,1,2,1,0.5,2,1,0.5
J.Jackson,1,1,1,1,0,0,1,0,0
P.Lynch,1,1,1,1,0,0,1,0,0
C.Martin,1,1,1,1,1,1,1,1,1
M. Bulger,2,2,1,2,2,1,2,2,1
R.Johnson,9,7,0.7777777777777778,5,2,0.4,3,2,0.6666666666666666
S. Beuerlein,4,3,0.75,2,1,0.5,1,1,1
S.McGee,3,2,0.6666666666666666,2,1,0.5,1,1,1
S.Mitchell,3,2,0.6666666666666666,1,1,1,1,1,1
Aa.Rodgers,5,3,0.6,2,2,1,1,1,1
C.Stroud,16,9,0.5625,12,4,0.3333333333333333,7,4,0.5714285714285714
B.Nix,13,7,0.5384615384615384,8,4,0.5,5,4,0.8
A.Feeley,17,9,0.5294117647058824,10,3,0.3,4,3,0.75
J.Allen,45,23,0.5111111111111111,32,11,0.34375,17,11,0.6470588235294118
R. Mirer,2,1,0.5,2,0,0,1,0,0
P.Walker,8,4,0.5,4,2,0.5,3,2,0.6666666666666666
V.Young,14,7,0.5,12,8,0.6666666666666666,6,6,1
Alex Smith,2,1,0.5,2,1,0.5,1,1,1
J.McCarthy,2,1,0.5,2,0,0,1,0,0
T.Yates,2,1,0.5,2,1,0.5,1,1,1
J.Garoppolo,30,15,0.5,18,8,0.4444444444444444,9,7,0.7777777777777778
J.Rosen,6,3,0.5,5,2,0.4,3,2,0.6666666666666666
J.Russell,10,5,0.5,8,3,0.375,3,3,1
B. Griese,2,1,0.5,2,1,0.5,1,1,1
J.Dart,4,2,0.5,3,0,0,1,0,0
B.Hundley,6,3,0.5,3,2,0.6666666666666666,0,0,
J.Browning,8,4,0.5,4,3,0.75,2,2,1
T. Green,24,12,0.5,18,8,0.4444444444444444,8,7,0.875
K.Moore,2,1,0.5,1,0,0,0,0,
E.Kramer,2,1,0.5,1,1,1,1,1,1
D.Thompson-Robinson,2,1,0.5,1,1,1,1,1,1
M.Moore,10,5,0.5,7,5,0.7142857142857143,4,4,1
D.Haskins,4,2,0.5,3,1,0.3333333333333333,1,1,1
